UWI,MD,Inc,Az,tvd,noff,eoff,
100/01-07-013-18W4/00,0,0,0,0,-0.01,0.21,
100/01-07-013-18W4/00,5,0,0,5,-0.01,0.21,
100/01-07-013-18W4/00,255,0,0,255,-0.01,0.21,
100/01-07-013-18W4/00,270.81,1.54,315.52,270.81,0.1,0.06,
100/01-07-013-18W4/00,289.8,1.58,309.89,289.79,0.44,-0.29,
100/01-07-013-18W4/00,308.76,1.41,297.94,308.74,0.77,-0.72,
100/01-07-013-18W4/00,327.72,1.41,297.06,327.7,0.99,-1.15,
100/01-07-013-18W4/00,346.54,1.67,296.53,346.51,1.22,-1.58,
100/01-07-013-18W4/00,365.14,1.54,293.72,365.1,1.44,-2.08,
100/01-07-013-18W4/00,384.03,1.63,295.04,383.99,1.66,-2.51,
100/01-07-013-18W4/00,402.5,1.49,288.62,402.45,1.88,-3.01,
100/01-07-013-18W4/00,421.38,0.13,288.36,421.33,1.99,-3.23,
100/01-07-013-18W4/00,440.35,0.44,129.54,440.3,1.88,-3.23,
100/01-07-013-18W4/00,459.21,0.18,65.38,459.16,1.88,-3.16,
100/01-07-013-18W4/00,478.25,0.26,192.29,478.2,1.88,-3.09,
100/01-07-013-18W4/00,497.09,0.18,134.55,497.04,1.77,-3.09,
100/01-07-013-18W4/00,516.08,0.04,128.66,516.03,1.77,-3.09,
100/01-07-013-18W4/00,534.78,0.44,161.53,534.73,1.66,-3.09,
100/01-07-013-18W4/00,553.47,0.62,174.28,553.42,1.55,-3.01,
100/01-07-013-18W4/00,572.71,0.66,189.04,572.66,1.33,-3.01,
100/01-07-013-18W4/00,591.62,0.62,101.24,591.56,1.22,-2.94,
100/01-07-013-18W4/00,600,1.52,86.49,599.94,1.22,-2.8,
100/01-07-013-18W4/00,607,2.3,83.2,606.94,1.22,-2.58,
100/01-07-013-18W4/00,610.11,2.64,82.34,610.05,1.22,-2.44,
100/01-07-013-18W4/00,619.68,3.38,79.09,619.6,1.33,-1.94,
100/01-07-013-18W4/00,628.87,3.03,80.94,628.78,1.33,-1.44,
100/01-07-013-18W4/00,638.25,3.74,69.69,638.14,1.55,-0.87,
100/01-07-013-18W4/00,647.41,4.31,60.28,647.28,1.77,-0.29,
100/01-07-013-18W4/00,657.01,5.54,47.01,656.84,2.33,0.35,
100/01-07-013-18W4/00,666.17,6.95,43.41,665.95,3,1.07,
100/01-07-013-18W4/00,675.77,7.16,43.14,675.48,3.88,1.85,
100/01-07-013-18W4/00,685.43,8.18,49.21,685.05,4.77,2.78,
100/01-07-013-18W4/00,694.84,9.98,50.61,694.34,5.66,3.93,
100/01-07-013-18W4/00,704.49,12.22,49.47,703.81,6.89,5.36,
100/01-07-013-18W4/00,713.74,14.37,50.26,712.81,8.22,6.94,
100/01-07-013-18W4/00,722.83,15.96,51.58,721.59,9.78,8.8,
100/01-07-013-18W4/00,732.13,17.27,55.89,730.5,11.33,10.95,
100/01-07-013-18W4/00,741.72,17.89,60.11,739.64,12.89,13.38,
100/01-07-013-18W4/00,751.05,18.99,65.55,748.49,14.23,16.03,
100/01-07-013-18W4/00,760.66,21.01,66.08,757.52,15.56,19.04,
100/01-07-013-18W4/00,770.27,23.08,65.91,766.43,17,22.33,
100/01-07-013-18W4/00,779.91,25.05,64.94,775.23,18.67,25.91,
100/01-07-013-18W4/00,789.58,26.46,62.39,783.94,20.56,29.63,
100/01-07-013-18W4/00,798.84,27.38,59.93,792.2,22.56,33.29,
100/01-07-013-18W4/00,808.32,28.62,59.93,800.57,24.79,37.15,
100/01-07-013-18W4/00,817.57,30.46,59.49,808.61,27.01,41.09,
100/01-07-013-18W4/00,826.72,32.18,59.4,816.43,29.46,45.17,
100/01-07-013-18W4/00,836.31,33.49,60.37,824.49,32.13,49.68,
100/01-07-013-18W4/00,845.79,35.25,60.28,832.31,34.79,54.33,
100/01-07-013-18W4/00,855.04,36.53,60.72,839.81,37.46,59.06,
100/01-07-013-18W4/00,864.29,37.85,59.84,847.18,40.13,63.93,
100/01-07-013-18W4/00,873.55,39.08,58.52,854.43,43.13,68.87,
100/01-07-013-18W4/00,882.71,39.87,58.35,861.5,46.14,73.81,
100/01-07-013-18W4/00,892.18,40.92,58.44,868.71,49.36,79.03,
100/01-07-013-18W4/00,901.62,41.85,59.05,875.79,52.58,84.4,
100/01-07-013-18W4/00,911.32,42.42,59.31,882.98,55.92,89.99,
100/01-07-013-18W4/00,921,43.6,59.05,890.06,59.37,95.64,
100/01-07-013-18W4/00,930.28,43.82,60.28,896.77,62.59,101.16,
100/01-07-013-18W4/00,939.53,44.66,60.63,903.4,65.7,106.81,
100/01-07-013-18W4/00,948.85,45.36,60.11,909.99,69.04,112.54,
100/01-07-013-18W4/00,958.22,45.67,60.72,916.55,72.27,118.34,
100/01-07-013-18W4/00,967.46,46.64,61.86,922.95,75.49,124.14,
100/01-07-013-18W4/00,976.96,48.18,62.83,929.38,78.71,130.37,
100/01-07-013-18W4/00,986.5,49.36,63.09,935.67,82.05,136.74,
100/01-07-013-18W4/00,996.14,49.98,62.48,941.91,85.39,143.26,
100/01-07-013-18W4/00,1005.79,50.99,62.39,948.05,88.83,149.84,
100/01-07-013-18W4/00,1015.41,52.31,62.74,954.02,92.28,156.57,
100/01-07-013-18W4/00,1025.05,53.93,62.92,959.8,95.84,163.45,
100/01-07-013-18W4/00,1034.68,55.74,63.27,965.35,99.4,170.46,
100/01-07-013-18W4/00,1044.22,56.84,63.97,970.64,102.95,177.55,
100/01-07-013-18W4/00,1053.87,58.64,63.8,975.79,106.51,184.85,
100/01-07-013-18W4/00,1063.53,60.48,63.62,980.69,110.18,192.37,
100/01-07-013-18W4/00,1073.07,61.8,63.53,985.29,113.96,199.81,
100/01-07-013-18W4/00,1082.63,62.24,63.8,989.78,117.63,207.4,
100/01-07-013-18W4/00,1092.21,63.12,64.76,994.17,121.3,215.06,
100/01-07-013-18W4/00,1101.89,63.96,65.29,998.49,124.97,222.94,
100/01-07-013-18W4/00,1111.55,65.32,65.91,1002.62,128.64,230.89,
100/01-07-013-18W4/00,1121.16,66.59,66.43,1006.54,132.2,238.91,
100/01-07-013-18W4/00,1130.66,67.91,67.49,1010.21,135.53,246.92,
100/01-07-013-18W4/00,1140.21,69.76,68.1,1013.66,138.98,255.23,
100/01-07-013-18W4/00,1149.73,71.65,69.25,1016.81,142.21,263.53,
100/01-07-013-18W4/00,1159.17,73.19,69.95,1019.66,145.32,271.98,
100/01-07-013-18W4/00,1168.6,74.64,70.56,1022.27,148.43,280.5,
100/01-07-013-18W4/00,1178.1,75.74,71.44,1024.7,151.44,289.16,
100/01-07-013-18W4/00,1187.64,75.74,71.71,1027.05,154.33,297.97,
100/01-07-013-18W4/00,1197.13,77.23,71.27,1029.27,157.22,306.7,
100/01-07-013-18W4/00,1206.63,77.54,71.62,1031.34,160.22,315.51,
100/01-07-013-18W4/00,1216.16,79.16,71.71,1033.27,163.11,324.32,
100/01-07-013-18W4/00,1225.63,79.96,71.36,1034.98,166.11,333.19,
100/01-07-013-18W4/00,1235.09,81.89,71.53,1036.47,169.12,342,
100/01-07-013-18W4/00,1244.66,82.77,71.71,1037.75,172.01,351.02,
100/01-07-013-18W4/00,1254.18,84.04,71.88,1038.85,175.01,359.97,
100/01-07-013-18W4/00,1263.71,84.57,71.71,1039.79,178.01,368.99,
100/01-07-013-18W4/00,1273.33,85.89,71.88,1040.59,180.91,378.08,
100/01-07-013-18W4/00,1287,87.08,71.88,1041.43,185.24,391.11,
100/01-07-013-18W4/00,1303,88.95,74.03,1041.98,189.91,406.36,
100/01-07-013-18W4/00,1308.02,89.54,74.7,1042.05,191.25,411.16,
